Student_ID,First_Name,Last_Name,Full_School_Name,School,Grade,Gender,Race,Ethnicity,Street,City,State,Zip,Lat,Lon,Address,Students,Grade_for_Sorting
43884,Kristina,Adkins,Chestnut Academy,CA,1,Female,African American,Hispanic,,,,,,,,1,1
40267,George,Alexander,Chestnut Academy,CA,1,Male,American Indian,Non-Hispanic,,,,,,,,1,1
43218,Beth,Allen,Chestnut Academy,CA,1,Female,African American,Non-Hispanic,,,,,,,,1,1
40646,Sean,Bean,Chestnut Academy,CA,1,Male,White,Non-Hispanic,,,,,,,,1,1
42898,Amy,Bell,Chestnut Academy,CA,1,Female,White,Non-Hispanic,,,,,,,,1,1
40918,Jimmy,Berry,Chestnut Academy,CA,1,Male,African American,Hispanic,,,,,,,,1,1
43859,Melissa,Berry,Chestnut Academy,CA,1,Female,African American,Non-Hispanic,,,,,,,,1,1
43095,Cassandra,Boone,Chestnut Academy,CA,1,Female,Asian,Hispanic,,,,,,,,1,1
43753,Donna,Brown,Chestnut Academy,CA,1,Female,White,Hispanic,,,,,,,,1,1
43306,Lisa,Caldwell,Chestnut Academy,CA,1,Female,Asian,Non-Hispanic,,,,,,,,1,1
42757,Karen,Campbell,Chestnut Academy,CA,1,Female,Asian,Non-Hispanic,,,,,,,,1,1
43491,Annette,Carter,Chestnut Academy,CA,1,Female,African American,Non-Hispanic,,,,,,,,1,1
42586,Crystal,Cox,Chestnut Academy,CA,1,Female,African American,Hispanic,,,,,,,,1,1
41338,Dwayne,Cox,Chestnut Academy,CA,1,Male,White,Hispanic,,,,,,,,1,1
43387,Carrie,Davis,Chestnut Academy,CA,1,Female,American Indian,Hispanic,,,,,,,,1,1
40392,Michael,Davis,Chestnut Academy,CA,1,Male,African American,Hispanic,,,,,,,,1,1
41695,Raymond,Erickson,Chestnut Academy,CA,1,Male,White,Hispanic,,,,,,,,1,1
43714,Tina,Finley,Chestnut Academy,CA,1,Female,Asian,Non-Hispanic,,,,,,,,1,1
40776,Philip,Gallagher,Chestnut Academy,CA,1,Male,White,Hispanic,,,,,,,,1,1
40247,Lance,Gardner,Chestnut Academy,CA,1,Male,White,Non-Hispanic,,,,,,,,1,1
43393,Gail,Hall,Chestnut Academy,CA,1,Female,White,Non-Hispanic,,,,,,,,1,1
43215,Alison,Hawkins,Chestnut Academy,CA,1,Female,Asian,Non-Hispanic,,,,,,,,1,1
42859,Dana,Hinton,Chestnut Academy,CA,1,Female,African American,Hispanic,,,,,,,,1,1
40365,Michael,Holt,Chestnut Academy,CA,1,Male,African American,Non-Hispanic,,,,,,,,1,1
43600,Taylor,Hoover,Chestnut Academy,CA,1,Female,Asian,Hispanic,,,,,,,,1,1
43778,Sharon,Humphrey,Chestnut Academy,CA,1,Female,White,Non-Hispanic,,,,,,,,1,1
43873,Rose,Hunt,Chestnut Academy,CA,1,Female,White,Hispanic,,,,,,,,1,1
41965,Brian,Jackson,Chestnut Academy,CA,1,Male,White,Hispanic,,,,,,,,1,1
41182,Andre,Jimenez,Chestnut Academy,CA,1,Male,Asian,Non-Hispanic,,,,,,,,1,1
43489,Stephanie,Kim,Chestnut Academy,CA,1,Female,White,Non-Hispanic,,,,,,,,1,1
43162,Sheila,King,Chestnut Academy,CA,1,Female,White,Non-Hispanic,,,,,,,,1,1
41632,Connor,Le,Chestnut Academy,CA,1,Male,African American,Non-Hispanic,,,,,,,,1,1
42423,Margaret,Leblanc,Chestnut Academy,CA,1,Female,White,Non-Hispanic,,,,,,,,1,1
41283,Christopher,Lopez,Chestnut Academy,CA,1,Male,African American,Non-Hispanic,,,,,,,,1,1
42531,Haley,Lopez,Chestnut Academy,CA,1,Female,White,Hispanic,,,,,,,,1,1
40108,Robert,Marshall,Chestnut Academy,CA,1,Male,White,Hispanic,,,,,,,,1,1
43940,Mariah,Martinez,Chestnut Academy,CA,1,Female,African American,Non-Hispanic,,,,,,,,1,1
43300,Carolyn,Mckee,Chestnut Academy,CA,1,Female,White,Non-Hispanic,,,,,,,,1,1
43730,Dana,Mendez,Chestnut Academy,CA,1,Female,African American,Hispanic,,,,,,,,1,1
42673,Jessica,Miles,Chestnut Academy,CA,1,Female,White,Hispanic,,,,,,,,1,1
42070,Cynthia,Moore,Chestnut Academy,CA,1,Female,African American,Non-Hispanic,,,,,,,,1,1
43226,Mary,Mueller,Chestnut Academy,CA,1,Female,White,Hispanic,,,,,,,,1,1
41516,Joseph,Murray,Chestnut Academy,CA,1,Male,African American,Non-Hispanic,,,,,,,,1,1
40406,Charles,Novak,Chestnut Academy,CA,1,Male,African American,Non-Hispanic,,,,,,,,1,1
42646,Gabriela,Ortiz,Chestnut Academy,CA,1,Female,African American,Non-Hispanic,,,,,,,,1,1
43842,Shannon,Owen,Chestnut Academy,CA,1,Female,Asian,Non-Hispanic,,,,,,,,1,1
43522,Denise,Padilla,Chestnut Academy,CA,1,Female,White,Non-Hispanic,,,,,,,,1,1
40386,Christopher,Park,Chestnut Academy,CA,1,Male,White,Non-Hispanic,,,,,,,,1,1
43663,Hannah,Patterson,Chestnut Academy,CA,1,Female,American Indian,Non-Hispanic,,,,,,,,1,1
40294,Kelly,Price,Chestnut Academy,CA,1,Male,African American,Hispanic,,,,,,,,1,1
40519,Shawn,Ramsey,Chestnut Academy,CA,1,Male,African American,Non-Hispanic,,,,,,,,1,1
42026,Alicia,Randall,Chestnut Academy,CA,1,Female,Asian,Hispanic,,,,,,,,1,1
43081,Jennifer,Randolph,Chestnut Academy,CA,1,Female,White,Hispanic,,,,,,,,1,1
42018,Annette,Roberts,Chestnut Academy,CA,1,Female,White,Non-Hispanic,,,,,,,,1,1
40694,Charles,Robertson,Chestnut Academy,CA,1,Male,African American,Hispanic,,,,,,,,1,1
40287,Jeffrey,Rodriguez,Chestnut Academy,CA,1,Male,Asian,Non-Hispanic,,,,,,,,1,1
43007,Tina,Rodriguez,Chestnut Academy,CA,1,Female,American Indian,Non-Hispanic,,,,,,,,1,1
43922,Pamela,Rogers,Chestnut Academy,CA,1,Female,Asian,Non-Hispanic,,,,,,,,1,1
42143,Marissa,Sanchez,Chestnut Academy,CA,1,Female,White,Non-Hispanic,,,,,,,,1,1
40426,William,Sanders,Chestnut Academy,CA,1,Male,Asian,Hispanic,,,,,,,,1,1
42169,Jessica,Sherman,Chestnut Academy,CA,1,Female,Asian,Non-Hispanic,,,,,,,,1,1
42463,Laura,Sherman,Chestnut Academy,CA,1,Female,African American,Hispanic,,,,,,,,1,1
42863,Michelle,Sims,Chestnut Academy,CA,1,Female,Asian,Non-Hispanic,,,,,,,,1,1
41881,Johnny,Singh,Chestnut Academy,CA,1,Male,African American,Hispanic,,,,,,,,1,1
41138,Jesse,Stokes,Chestnut Academy,CA,1,Male,Asian,Non-Hispanic,,,,,,,,1,1
43530,Maria,Waters,Chestnut Academy,CA,1,Female,White,Non-Hispanic,,,,,,,,1,1
42403,Brandy,Weber,Chestnut Academy,CA,1,Female,Asian,Hispanic,,,,,,,,1,1
42104,Tracy,Williamson,Chestnut Academy,CA,1,Female,White,Non-Hispanic,,,,,,,,1,1
41847,Stephen,Wilson,Chestnut Academy,CA,1,Male,White,Non-Hispanic,,,,,,,,1,1
41637,Tommy,Wilson,Chestnut Academy,CA,1,Male,African American,Non-Hispanic,,,,,,,,1,1
42497,Karen,Wright,Chestnut Academy,CA,1,Female,Asian,Hispanic,,,,,,,,1,1
